vessel_call_id,vessel_name,voyage_no,customer_id,terminal_id,eta,ata,atd,total_moves_planned,total_moves_actual,status
28,MSC OSCAR,V158E,2,1,2025-04-09 00:30:00,2025-04-09 02:40:43.079,2025-04-10 14:40:43.079,1690,1779,Departed
29,YM WISDOM,V721E,11,3,2025-04-09 22:00:00,2025-04-09 23:33:07.286,2025-04-11 02:33:07.286,2295,2249,Departed
30,ONE APUS,V792E,2,3,2025-04-09 11:30:00,2025-04-09 07:46:57.452,2025-04-10 19:46:57.452,636,685,Departed
31,WAN HAI 805,V547E,1,2,2025-04-10 22:30:00,2025-04-10 21:15:35.671,2025-04-11 18:15:35.671,1616,1777,Departed
32,ONE APUS,V426E,10,1,2025-04-10 17:30:00,2025-04-10 17:43:13.585,2025-04-11 14:43:13.585,1064,1081,Departed
33,HMM ALGECIRAS,V225E,2,1,2025-04-10 04:30:00,2025-04-10 00:30:00.000,2025-04-11 09:30:00.000,517,477,Departed
34,ONE APUS,V692E,3,2,2025-04-10 13:45:00,2025-04-10 11:16:05.374,2025-04-11 15:16:05.374,912,967,Departed
35,ZIM ROTTERDAM,V129E,11,3,2025-04-11 17:45:00,2025-04-11 20:26:47.309,2025-04-13 00:26:47.309,495,467,Departed
36,MSC OSCAR,V383E,9,2,2025-04-11 13:30:00,2025-04-11 14:33:20.788,2025-04-12 09:33:20.788,1134,1126,Departed
37,MSC OSCAR,V765E,9,2,2025-04-12 10:30:00,2025-04-12 14:05:46.377,2025-04-13 19:05:46.377,2327,2404,Departed
38,MSC OSCAR,V327E,11,3,2025-04-12 04:45:00,2025-04-12 04:14:55.781,2025-04-13 08:14:55.781,2700,2577,Departed
39,HYUNDAI VICTORY,V451E,4,2,2025-04-12 11:45:00,2025-04-12 10:06:19.484,2025-04-14 06:06:19.484,2778,2645,Departed
40,HYUNDAI VICTORY,V292E,3,3,2025-04-12 13:15:00,2025-04-12 13:02:40.262,2025-04-14 01:02:40.262,2543,2544,Departed
41,ONE APUS,V914E,1,3,2025-04-13 05:00:00,2025-04-13 04:14:13.311,2025-04-14 10:14:13.311,965,1022,Departed
42,WAN HAI 805,V857E,2,1,2025-04-13 17:15:00,2025-04-13 19:03:36.645,2025-04-15 04:03:36.645,2745,2573,Departed
43,MSC OSCAR,V502E,7,3,2025-04-13 16:15:00,2025-04-13 17:10:09.129,2025-04-14 16:10:09.129,1994,1983,Departed
44,COSCO SHIPPING UNIVERSE,V660E,5,2,2025-04-13 01:15:00,2025-04-13 02:07:21.476,2025-04-15 02:07:21.476,1569,1624,Departed
45,MAERSK MADRID,V497E,4,3,2025-04-14 20:00:00,2025-04-14 21:39:30.688,2025-04-16 14:39:30.688,1856,1746,Departed
46,ZIM ROTTERDAM,V274E,12,3,2025-04-14 00:15:00,2025-04-13 23:48:28.581,2025-04-14 14:48:28.581,877,899,Departed
47,ZIM ROTTERDAM,V783E,12,3,2025-04-14 00:30:00,2025-04-14 02:03:51.694,2025-04-16 02:03:51.694,1031,1048,Departed
48,HMM ALGECIRAS,V354E,3,1,2025-04-15 10:45:00,2025-04-15 13:43:31.797,2025-04-16 07:43:31.797,1961,2077,Departed
49,HYUNDAI VICTORY,V731E,5,3,2025-04-15 03:30:00,2025-04-15 01:10:47.331,2025-04-17 00:10:47.331,1411,1424,Departed
50,COSCO SHIPPING UNIVERSE,V799E,8,3,2025-04-15 11:00:00,2025-04-15 15:56:29.608,2025-04-17 12:56:29.608,1678,1774,Departed
51,HYUNDAI VICTORY,V871E,11,1,2025-04-15 05:30:00,2025-04-15 03:09:30.720,2025-04-16 13:09:30.720,2420,2483,Departed
52,COSCO SHIPPING UNIVERSE,V280E,4,2,2025-04-16 07:30:00,2025-04-16 07:36:10.462,2025-04-17 21:36:10.462,1271,1212,Departed
53,MAERSK MADRID,V552E,12,3,2025-04-16 21:15:00,2025-04-16 19:37:38.605,2025-04-17 16:37:38.605,1710,1741,Departed
54,HYUNDAI VICTORY,V961E,8,2,2025-04-16 04:30:00,2025-04-16 05:01:39.471,2025-04-17 02:01:39.471,1497,1646,Departed
55,HMM ALGECIRAS,V569E,11,2,2025-04-17 12:00:00,2025-04-17 10:17:57.828,2025-04-19 02:17:57.828,1779,1754,Departed
56,EVER GIVEN,V795E,8,3,2025-04-17 20:15:00,2025-04-17 17:40:43.422,2025-04-18 10:40:43.422,2037,2104,Departed
57,WAN HAI 805,V277E,1,2,2025-04-17 17:30:00,2025-04-17 19:17:36.735,2025-04-19 11:17:36.735,2349,2462,Departed
58,COSCO SHIPPING UNIVERSE,V112E,1,1,2025-04-18 20:00:00,2025-04-18 17:27:35.420,2025-04-20 03:27:35.420,472,424,Departed
59,CMA CGM MARCO POLO,V909E,8,3,2025-04-18 08:30:00,2025-04-18 11:12:02.531,2025-04-20 11:12:02.531,446,462,Departed
60,EVER GIVEN,V259E,6,1,2025-04-18 14:15:00,2025-04-18 13:17:16.750,2025-04-19 22:17:16.750,745,730,Departed
61,ONE APUS,V828E,9,3,2025-04-19 18:15:00,2025-04-19 19:29:13.931,2025-04-21 11:29:13.931,582,596,Departed
62,MAERSK MADRID,V663E,12,3,2025-04-19 07:45:00,2025-04-19 06:45:01.439,2025-04-20 18:45:01.439,1701,1635,Departed
63,HMM ALGECIRAS,V591E,5,2,2025-04-19 10:30:00,2025-04-19 12:45:34.092,2025-04-20 03:45:34.092,2368,2399,Departed
64,COSCO SHIPPING UNIVERSE,V359E,8,1,2025-04-19 11:30:00,2025-04-19 08:15:48.147,2025-04-20 17:15:48.147,1294,1285,Departed
65,MSC OSCAR,V934E,7,1,2025-04-20 23:30:00,2025-04-21 02:14:56.458,2025-04-23 00:14:56.458,2539,2518,Departed
66,HMM ALGECIRAS,V432E,8,2,2025-04-20 21:30:00,2025-04-20 20:59:08.434,2025-04-21 21:59:08.434,1454,1476,Departed
67,ZIM ROTTERDAM,V633E,7,3,2025-04-20 03:15:00,2025-04-20 04:42:37.894,2025-04-21 21:42:37.894,2480,2496,Departed
68,ZIM ROTTERDAM,V229E,9,1,2025-04-20 08:45:00,2025-04-20 10:43:05.113,2025-04-21 20:43:05.113,1889,1996,Departed
69,ONE APUS,V645E,10,3,2025-04-21 17:15:00,2025-04-21 18:42:45.167,2025-04-22 17:42:45.167,989,1040,Departed
70,MAERSK MADRID,V916E,11,3,2025-04-21 01:00:00,2025-04-21 00:40:48.252,2025-04-22 01:40:48.252,970,1010,Departed
71,HYUNDAI VICTORY,V653E,12,2,2025-04-21 04:45:00,2025-04-21 06:15:34.128,2025-04-22 07:15:34.128,1030,1098,Departed
72,ONE APUS,V756E,10,2,2025-04-21 17:00:00,2025-04-21 16:14:51.520,2025-04-23 16:14:51.520,776,820,Departed
73,OOCL HONG KONG,V865E,7,1,2025-04-22 10:15:00,2025-04-22 10:07:27.340,2025-04-23 00:07:27.340,638,629,Departed
74,EVER GIVEN,V461E,10,3,2025-04-22 22:30:00,2025-04-22 22:16:23.673,2025-04-24 20:16:23.673,1183,1195,Departed
75,EVER GIVEN,V532E,11,2,2025-04-22 06:15:00,2025-04-22 06:24:51.030,2025-04-24 03:24:51.030,1271,1364,Departed
76,MAERSK MADRID,V648E,7,3,2025-04-23 13:45:00,2025-04-23 15:41:00.870,2025-04-25 00:41:00.870,2204,2068,Departed
77,ZIM ROTTERDAM,V721E,8,1,2025-04-23 06:15:00,2025-04-23 06:51:18.100,2025-04-24 06:51:18.100,871,882,Departed
78,MAERSK MADRID,V308E,11,2,2025-04-23 06:45:00,2025-04-23 11:58:27.848,2025-04-24 18:58:27.848,1576,1615,Departed
79,COSCO SHIPPING UNIVERSE,V507E,1,2,2025-04-24 16:45:00,2025-04-24 19:39:06.833,2025-04-26 16:39:06.833,965,904,Departed
80,EVER GIVEN,V912E,3,3,2025-04-24 07:30:00,2025-04-24 04:51:53.183,2025-04-24 21:51:53.183,2694,2744,Departed
81,COSCO SHIPPING UNIVERSE,V873E,5,3,2025-04-24 02:45:00,2025-04-24 00:17:06.475,2025-04-25 23:17:06.475,2572,2603,Departed
82,EVER GIVEN,V933E,5,2,2025-04-24 01:00:00,2025-04-24 00:21:21.636,2025-04-25 18:21:21.636,2711,2683,Departed
83,ONE APUS,V918E,11,3,2025-04-25 14:45:00,2025-04-25 13:38:04.726,2025-04-26 23:38:04.726,950,943,Departed
84,MSC OSCAR,V207E,7,1,2025-04-25 05:30:00,2025-04-25 06:06:39.766,2025-04-26 00:06:39.766,2533,2537,Departed
85,WAN HAI 805,V977E,6,3,2025-04-26 04:30:00,2025-04-26 05:56:16.073,2025-04-28 00:56:16.073,1393,1379,Departed
86,ONE APUS,V344E,9,2,2025-04-26 13:00:00,2025-04-26 10:18:53.669,2025-04-28 04:18:53.669,1172,1177,Departed
87,HMM ALGECIRAS,V587E,10,2,2025-04-27 15:00:00,2025-04-27 13:35:43.431,2025-04-28 05:35:43.431,2568,2568,Departed
88,YM WISDOM,V903E,3,2,2025-04-27 07:30:00,2025-04-27 07:16:09.223,2025-04-27 22:16:09.223,1847,1944,Departed
89,ZIM ROTTERDAM,V270E,9,1,2025-04-28 18:30:00,2025-04-28 19:24:49.042,2025-04-29 19:24:49.042,2273,2131,Departed
90,ONE APUS,V927E,2,1,2025-04-28 13:45:00,2025-04-28 15:13:50.257,2025-04-29 08:13:50.257,1475,1466,Departed
91,MAERSK MADRID,V637E,5,2,2025-04-28 02:30:00,2025-04-28 04:40:44.585,2025-04-29 07:40:44.585,2703,2961,Departed
92,EVER GIVEN,V558E,9,3,2025-04-28 01:30:00,2025-04-28 06:52:41.908,2025-04-30 01:52:41.908,2511,2424,Departed
93,MSC OSCAR,V979E,4,3,2025-04-29 20:45:00,2025-04-29 21:35:10.499,2025-04-30 15:35:10.499,1543,1552,Departed
94,CMA CGM MARCO POLO,V107E,5,3,2025-04-29 20:00:00,2025-04-29 18:28:30.842,2025-05-01 18:28:30.842,1086,1093,Departed
95,ZIM ROTTERDAM,V750E,9,3,2025-04-29 17:15:00,2025-04-29 16:35:19.784,2025-05-01 04:35:19.784,1335,1335,Departed
96,ZIM ROTTERDAM,V502E,8,1,2025-04-29 07:00:00,2025-04-29 08:57:57.293,2025-04-30 03:57:57.293,2206,2216,Departed
97,HMM ALGECIRAS,V282E,3,1,2025-04-30 05:15:00,2025-04-30 03:26:14.260,2025-05-01 10:26:14.260,1091,1089,Departed
98,YM WISDOM,V194E,1,2,2025-04-30 02:15:00,2025-04-30 04:49:07.778,2025-05-02 03:49:07.778,1396,1385,Departed
99,YM WISDOM,V991E,12,1,2025-04-30 21:30:00,2025-04-30 22:38:15.440,2025-05-01 20:38:15.440,406,428,Departed
100,ONE APUS,V191E,12,2,2025-04-30 20:45:00,2025-04-30 19:52:56.109,2025-05-02 07:52:56.109,740,710,Departed
101,OOCL HONG KONG,V705E,1,3,2025-05-01 08:15:00,2025-05-01 11:18:55.321,2025-05-02 20:18:55.321,2760,2947,Departed
102,OOCL HONG KONG,V680E,3,2,2025-05-01 23:00:00,2025-05-02 00:48:15.469,2025-05-03 01:48:15.469,2276,2258,Departed
103,HMM ALGECIRAS,V199E,4,3,2025-05-01 15:15:00,2025-05-01 13:24:12.495,2025-05-03 09:24:12.495,863,831,Departed
104,EVER GIVEN,V230E,1,3,2025-05-01 16:30:00,2025-05-01 19:20:51.712,2025-05-02 10:20:51.712,2219,2429,Departed
105,HYUNDAI VICTORY,V254E,7,3,2025-05-02 20:00:00,2025-05-02 19:02:39.311,2025-05-03 23:02:39.311,1730,1745,Departed
106,YM WISDOM,V929E,2,2,2025-05-02 08:45:00,2025-05-02 09:08:27.092,2025-05-03 18:08:27.092,1427,1312,Departed
107,YM WISDOM,V857E,10,2,2025-05-02 15:30:00,2025-05-02 17:51:13.168,2025-05-03 13:51:13.168,2644,2455,Departed
108,MSC OSCAR,V309E,4,3,2025-05-02 09:45:00,2025-05-02 10:13:59.757,2025-05-03 20:13:59.757,1079,1160,Departed
109,CMA CGM MARCO POLO,V494E,3,3,2025-05-03 10:45:00,2025-05-03 11:24:48.748,2025-05-05 11:24:48.748,2604,2762,Departed
110,ONE APUS,V810E,5,2,2025-05-03 14:15:00,2025-05-03 15:00:50.498,2025-05-04 17:00:50.498,1630,1691,Departed
111,ONE APUS,V786E,10,1,2025-05-04 14:45:00,2025-05-04 12:46:13.421,2025-05-05 21:46:13.421,548,516,Departed
112,HMM ALGECIRAS,V626E,6,3,2025-05-04 09:45:00,2025-05-04 10:12:49.744,2025-05-06 10:12:49.744,2492,2680,Departed
113,OOCL HONG KONG,V951E,10,3,2025-05-05 11:30:00,2025-05-05 11:31:08.423,2025-05-06 01:31:08.423,2125,1995,Departed
114,ZIM ROTTERDAM,V539E,7,3,2025-05-05 11:15:00,2025-05-05 09:26:04.684,2025-05-06 00:26:04.684,838,823,Departed
115,CMA CGM MARCO POLO,V320E,3,2,2025-05-05 19:45:00,2025-05-05 16:08:04.391,2025-05-07 09:08:04.391,2501,2539,Departed
116,COSCO SHIPPING UNIVERSE,V131E,9,1,2025-05-06 03:00:00,2025-05-06 03:12:31.927,2025-05-07 15:12:31.927,2513,2576,Departed
117,OOCL HONG KONG,V200E,7,1,2025-05-06 10:30:00,2025-05-06 11:13:16.683,2025-05-07 05:13:16.683,1799,1774,Departed
118,MAERSK MADRID,V571E,11,2,2025-05-07 03:00:00,2025-05-07 03:36:11.515,2025-05-09 00:36:11.515,1796,1744,Departed
119,HMM ALGECIRAS,V285E,2,1,2025-05-07 11:15:00,2025-05-07 12:34:26.997,2025-05-08 08:34:26.997,2655,2775,Departed
120,ONE APUS,V871E,3,1,2025-05-07 00:45:00,2025-05-06 20:45:00.000,2025-05-08 14:45:00.000,2439,2614,Departed
121,MSC OSCAR,V559E,8,2,2025-05-07 23:00:00,2025-05-08 01:02:47.627,2025-05-09 18:02:47.627,681,680,Departed
122,WAN HAI 805,V658E,9,1,2025-05-08 13:00:00,2025-05-08 12:17:04.128,2025-05-09 11:17:04.128,1659,1699,Departed
123,HYUNDAI VICTORY,V894E,7,1,2025-05-08 22:15:00,2025-05-08 20:02:29.875,2025-05-10 12:02:29.875,739,785,Departed
124,HMM ALGECIRAS,V886E,10,2,2025-05-08 10:45:00,2025-05-08 13:16:02.693,2025-05-09 22:16:02.693,1358,1251,Departed
125,HMM ALGECIRAS,V636E,3,3,2025-05-09 13:30:00,2025-05-09 16:10:49.992,2025-05-11 15:10:49.992,2284,2317,Departed
126,HYUNDAI VICTORY,V523E,12,2,2025-05-09 06:45:00,2025-05-09 08:39:34.360,2025-05-10 17:39:34.360,1487,1603,Departed
127,HYUNDAI VICTORY,V212E,10,1,2025-05-09 00:15:00,2025-05-08 22:47:13.922,2025-05-10 08:47:13.922,902,877,Departed
128,OOCL HONG KONG,V444E,7,3,2025-05-09 13:45:00,2025-05-09 11:25:20.479,2025-05-11 00:25:20.479,2163,2060,Departed
129,YM WISDOM,V698E,6,3,2025-05-10 12:30:00,2025-05-10 14:22:09.447,2025-05-12 02:22:09.447,1428,1434,Departed
130,YM WISDOM,V110E,6,2,2025-05-10 14:00:00,2025-05-10 10:49:03.081,2025-05-11 18:49:03.081,2613,2455,Departed
131,ZIM ROTTERDAM,V912E,1,1,2025-05-10 10:45:00,2025-05-10 10:37:36.138,2025-05-11 16:37:36.138,409,426,Departed
132,CMA CGM MARCO POLO,V323E,1,1,2025-05-10 07:15:00,2025-05-10 09:04:13.584,2025-05-12 09:04:13.584,2268,2301,Departed
133,OOCL HONG KONG,V727E,9,3,2025-05-11 20:00:00,2025-05-11 19:46:02.688,2025-05-13 11:46:02.688,1339,1370,Departed
134,EVER GIVEN,V811E,2,1,2025-05-11 02:45:00,2025-05-11 04:50:56.550,2025-05-11 19:50:56.550,1575,1594,Departed
135,COSCO SHIPPING UNIVERSE,V670E,11,2,2025-05-12 06:00:00,2025-05-12 05:01:16.840,2025-05-14 05:01:16.840,1075,1090,Departed
136,HMM ALGECIRAS,V506E,12,1,2025-05-12 02:45:00,2025-05-12 04:45:54.828,2025-05-14 00:45:54.828,2206,2181,Departed
137,OOCL HONG KONG,V751E,3,1,2025-05-12 09:00:00,2025-05-12 09:36:26.920,2025-05-13 16:36:26.920,2292,2175,Departed
138,HMM ALGECIRAS,V254E,4,2,2025-05-13 05:30:00,2025-05-13 06:24:54.389,2025-05-15 01:24:54.389,1981,1989,Departed
139,EVER GIVEN,V468E,7,1,2025-05-13 00:30:00,2025-05-12 23:43:08.447,2025-05-14 03:43:08.447,1196,1183,Departed
140,COSCO SHIPPING UNIVERSE,V362E,2,2,2025-05-13 17:00:00,2025-05-13 17:21:00.478,2025-05-14 21:21:00.478,2300,2259,Departed
141,ZIM ROTTERDAM,V456E,3,1,2025-05-13 04:15:00,2025-05-13 01:22:48.223,2025-05-14 15:22:48.223,1429,1394,Departed
142,OOCL HONG KONG,V582E,6,1,2025-05-14 06:15:00,2025-05-14 08:20:47.797,2025-05-15 06:20:47.797,1575,1541,Departed
143,ZIM ROTTERDAM,V150E,9,2,2025-05-14 07:30:00,2025-05-14 03:30:00.000,2025-05-15 12:30:00.000,1021,1039,Departed
144,HYUNDAI VICTORY,V565E,7,3,2025-05-14 03:15:00,2025-05-14 02:42:30.537,2025-05-15 18:42:30.537,694,719,Departed
145,YM WISDOM,V423E,5,2,2025-05-14 04:00:00,2025-05-14 05:28:57.727,2025-05-15 22:28:57.727,768,753,Departed
146,OOCL HONG KONG,V307E,9,1,2025-05-15 00:30:00,2025-05-15 01:19:56.223,2025-05-16 11:19:56.223,784,836,Departed
147,HYUNDAI VICTORY,V610E,9,2,2025-05-15 21:30:00,2025-05-15 18:49:26.824,2025-05-16 10:49:26.824,1865,1832,Departed
148,HMM ALGECIRAS,V834E,8,3,2025-05-16 15:45:00,2025-05-16 18:25:58.953,2025-05-18 07:25:58.953,1226,1259,Departed
149,ZIM ROTTERDAM,V360E,9,3,2025-05-16 16:30:00,2025-05-16 17:13:54.139,2025-05-17 12:13:54.139,485,456,Departed
150,ONE APUS,V576E,11,1,2025-05-16 20:00:00,2025-05-16 16:02:18.077,2025-05-18 12:02:18.077,2052,2087,Departed
151,EVER GIVEN,V830E,11,2,2025-05-16 03:30:00,2025-05-16 05:02:51.155,2025-05-17 08:02:51.155,1539,1593,Departed
152,YM WISDOM,V801E,1,1,2025-05-17 01:45:00,2025-05-17 00:33:45.061,2025-05-17 22:33:45.061,1214,1262,Departed
153,WAN HAI 805,V716E,5,1,2025-05-17 09:45:00,2025-05-17 08:54:51.845,2025-05-19 01:54:51.845,1223,1333,Departed
154,ONE APUS,V484E,6,1,2025-05-18 19:45:00,2025-05-18 19:37:14.303,2025-05-20 00:37:14.303,1754,1830,Departed
155,ZIM ROTTERDAM,V191E,4,3,2025-05-18 08:15:00,2025-05-18 09:20:34.081,2025-05-19 13:20:34.081,1664,1688,Departed
156,ONE APUS,V577E,8,1,2025-05-19 08:30:00,2025-05-19 07:31:40.772,2025-05-20 14:31:40.772,2302,2149,Departed
157,COSCO SHIPPING UNIVERSE,V812E,2,2,2025-05-19 16:45:00,2025-05-19 16:40:52.142,2025-05-20 13:40:52.142,1547,1466,Departed
158,EVER GIVEN,V822E,1,3,2025-05-19 04:15:00,2025-05-19 07:42:16.448,2025-05-20 17:42:16.448,1325,1286,Departed
159,HYUNDAI VICTORY,V728E,11,2,2025-05-19 00:30:00,2025-05-19 02:41:03.733,2025-05-20 09:41:03.733,2370,2288,Departed
160,YM WISDOM,V630E,12,3,2025-05-20 02:15:00,2025-05-20 02:05:35.022,2025-05-20 16:05:35.022,1134,1178,Departed
161,ONE APUS,V195E,10,2,2025-05-20 12:00:00,2025-05-20 11:59:44.573,2025-05-21 04:59:44.573,465,464,Departed
162,WAN HAI 805,V143E,11,2,2025-05-20 20:15:00,2025-05-20 22:33:12.554,2025-05-21 13:33:12.554,843,848,Departed
163,MSC OSCAR,V303E,10,1,2025-05-21 15:15:00,2025-05-21 15:48:10.678,2025-05-23 09:48:10.678,534,532,Departed
164,CMA CGM MARCO POLO,V137E,5,3,2025-05-21 16:45:00,2025-05-21 14:25:15.848,2025-05-22 10:25:15.848,2122,2163,Departed
165,WAN HAI 805,V509E,2,1,2025-05-21 09:45:00,2025-05-21 09:48:41.101,2025-05-21 23:48:41.101,1160,1184,Departed
166,CMA CGM MARCO POLO,V623E,4,1,2025-05-22 01:30:00,2025-05-22 02:51:29.617,2025-05-22 16:51:29.617,1667,1668,Departed
167,MAERSK MADRID,V499E,4,2,2025-05-22 02:45:00,2025-05-22 00:56:17.009,2025-05-23 12:56:17.009,1130,1132,Departed
168,CMA CGM MARCO POLO,V145E,2,1,2025-05-23 13:45:00,2025-05-23 16:45:47.667,2025-05-24 15:45:47.667,2240,2285,Departed
169,YM WISDOM,V120E,6,2,2025-05-23 19:15:00,2025-05-23 16:51:16.944,2025-05-24 19:51:16.944,2482,2394,Departed
170,EVER GIVEN,V852E,4,1,2025-05-23 15:00:00,2025-05-23 18:14:27.965,2025-05-24 14:14:27.965,2497,2177,Departed
171,ONE APUS,V225E,6,3,2025-05-23 03:15:00,2025-05-23 04:46:18.486,2025-05-24 00:46:18.486,1596,1449,Departed
172,MSC OSCAR,V781E,7,2,2025-05-24 10:30:00,2025-05-24 10:14:02.137,2025-05-25 03:14:02.137,2132,2345,Departed
173,ONE APUS,V335E,6,1,2025-05-24 12:45:00,2025-05-24 09:27:45.427,2025-05-25 08:27:45.427,1696,1778,Departed
174,HMM ALGECIRAS,V574E,4,2,2025-05-24 17:00:00,2025-05-24 17:38:59.240,2025-05-25 17:38:59.240,1940,1977,Departed
175,CMA CGM MARCO POLO,V933E,12,2,2025-05-25 12:15:00,2025-05-25 11:02:10.268,2025-05-26 02:02:10.268,1112,1108,Departed
176,MSC OSCAR,V640E,12,3,2025-05-25 04:30:00,2025-05-25 05:09:21.055,2025-05-26 13:09:21.055,957,979,Departed
177,ONE APUS,V267E,9,1,2025-05-25 14:00:00,2025-05-25 14:38:47.274,2025-05-27 03:38:47.274,580,537,Departed
178,MSC OSCAR,V998E,11,1,2025-05-26 17:45:00,2025-05-26 18:46:06.349,2025-05-27 15:46:06.349,2294,2298,Departed
179,ZIM ROTTERDAM,V155E,2,1,2025-05-26 07:15:00,2025-05-26 06:33:34.829,2025-05-27 19:33:34.829,2190,2247,Departed
180,WAN HAI 805,V299E,11,2,2025-05-26 16:15:00,2025-05-26 17:58:50.235,2025-05-27 09:58:50.235,2494,2430,Departed
181,EVER GIVEN,V804E,10,2,2025-05-27 20:00:00,2025-05-27 20:35:28.287,2025-05-29 08:35:28.287,2044,2103,Departed
182,MSC OSCAR,V566E,1,1,2025-05-27 05:15:00,2025-05-27 05:42:57.066,2025-05-28 20:42:57.066,1769,1856,Departed
183,HYUNDAI VICTORY,V326E,3,2,2025-05-28 09:45:00,2025-05-28 12:28:59.763,2025-05-29 04:28:59.763,669,620,Departed
184,CMA CGM MARCO POLO,V989E,12,2,2025-05-28 03:00:00,2025-05-28 02:18:49.572,2025-05-28 19:18:49.572,2185,1879,Departed
185,WAN HAI 805,V596E,2,3,2025-05-29 22:45:00,2025-05-30 01:19:58.595,2025-05-31 01:19:58.595,1506,1553,Departed
186,CMA CGM MARCO POLO,V341E,11,2,2025-05-29 02:45:00,2025-05-29 01:44:14.342,2025-05-30 17:44:14.342,2633,2739,Departed
187,EVER GIVEN,V432E,5,1,2025-05-30 03:45:00,2025-05-30 04:55:01.862,2025-05-30 19:55:01.862,992,1007,Departed
188,MAERSK MADRID,V459E,1,1,2025-05-30 03:30:00,2025-05-30 03:34:00.508,2025-05-31 00:34:00.508,744,742,Departed
189,ZIM ROTTERDAM,V240E,10,3,2025-05-31 08:00:00,2025-05-31 10:04:12.399,2025-06-01 18:04:12.399,875,755,Departed
