gate_txn_id,truck_plate,container_no,customer_id,terminal_id,direction,gate_in_time,gate_out_time,shift_id
43,B73279,CMAU2185296,3,1,OUT,2025-04-01 05:17:00,2025-04-01 06:02:00,3
44,C81417,EGLV7560356,9,4,OUT,2025-04-01 05:55:00,2025-04-01 06:46:00,3
45,E89401,CMAU5028115,5,2,IN,2025-04-01 12:00:00,2025-04-01 12:36:00,1
46,A39835,MSKU5354907,9,2,IN,2025-04-01 22:53:00,2025-04-01 23:40:00,3
47,C21102,CMAU8040498,2,4,IN,2025-04-01 11:03:00,2025-04-01 11:54:00,1
48,F69916,HLXU3435635,9,3,OUT,2025-04-01 10:41:00,2025-04-01 11:14:00,1
49,F71945,MSKU4898377,4,2,OUT,2025-04-01 13:54:00,2025-04-01 14:14:00,1
50,F56536,ONEU4958052,6,3,IN,2025-04-01 10:41:00,2025-04-01 10:57:00,1
51,B14893,CMAU9089855,10,2,IN,2025-04-01 16:49:00,2025-04-01 17:30:00,2
52,E12329,EGLV9310040,3,3,OUT,2025-04-01 23:29:00,2025-04-01 23:34:00,3
53,E14487,COSU6588008,5,3,IN,2025-04-01 14:15:00,2025-04-01 14:43:00,2
54,C35465,COSU8173715,12,1,OUT,2025-04-01 18:07:00,2025-04-01 18:33:00,2
55,F19942,CMAU9495079,9,1,OUT,2025-04-01 09:43:00,2025-04-01 10:43:00,1
56,E20918,ONEU9243260,10,1,IN,2025-04-01 06:58:00,2025-04-01 08:30:00,1
57,E64986,COSU5320100,11,1,IN,2025-04-01 09:04:00,2025-04-01 09:43:00,1
58,C61928,COSU1882106,5,2,IN,2025-04-01 14:24:00,2025-04-01 15:31:00,2
59,D92198,MSCU6495285,2,1,IN,2025-04-01 18:34:00,2025-04-01 20:35:00,2
60,D67571,MSCU6014190,4,1,OUT,2025-04-01 08:43:00,2025-04-01 09:00:00,1
61,E64658,CMAU5085283,3,4,IN,2025-04-01 20:12:00,2025-04-01 20:17:00,2
62,B86727,COSU8494840,9,1,OUT,2025-04-01 13:47:00,2025-04-01 14:42:00,1
63,B20379,MSCU7916009,2,4,OUT,2025-04-01 10:29:00,2025-04-01 11:36:00,1
64,D86304,CMAU5985892,6,1,IN,2025-04-01 11:17:00,2025-04-01 12:26:00,1
65,B57755,COSU7320344,3,3,OUT,2025-04-01 15:38:00,2025-04-01 16:40:00,2
66,F69208,CMAU5818140,9,4,OUT,2025-04-01 22:54:00,2025-04-02 00:09:00,3
67,F41298,COSU4781278,11,1,IN,2025-04-01 08:55:00,2025-04-01 09:25:00,1
68,E50083,CMAU6054560,6,4,IN,2025-04-01 19:21:00,2025-04-01 20:31:00,2
69,F67458,CMAU2404556,1,1,OUT,2025-04-01 23:19:00,2025-04-01 23:35:00,3
70,F42747,MSKU5648840,6,1,OUT,2025-04-01 19:06:00,2025-04-01 19:31:00,2
71,E40135,MSCU1889814,12,1,IN,2025-04-01 08:18:00,2025-04-01 08:48:00,1
72,A67618,CMAU2594197,3,4,IN,2025-04-01 23:23:00,2025-04-01 23:57:00,3
73,F88783,MSKU5291697,6,1,OUT,2025-04-01 09:18:00,2025-04-01 09:43:00,1
74,D35859,HLXU5175786,1,2,IN,2025-04-01 14:26:00,2025-04-01 14:43:00,2
75,D63024,EGLV4057937,11,4,OUT,2025-04-01 10:13:00,2025-04-01 11:30:00,1
76,F90182,HLXU6973119,3,2,OUT,2025-04-01 07:51:00,2025-04-01 09:04:00,1
77,D49688,MSCU8062085,8,1,OUT,2025-04-01 23:28:00,2025-04-01 23:58:00,3
78,C28427,COSU1767365,2,3,IN,2025-04-01 19:22:00,2025-04-01 20:40:00,2
79,E39362,MSCU3516337,2,4,IN,2025-04-01 18:02:00,2025-04-01 18:20:00,2
80,F97485,CMAU1177564,10,1,IN,2025-04-01 23:52:00,2025-04-02 00:33:00,3
81,C67542,ONEU8018576,4,3,IN,2025-04-01 08:23:00,2025-04-01 08:42:00,1
82,F55679,EGLV4523037,10,3,OUT,2025-04-01 15:34:00,2025-04-01 16:23:00,2
83,D38068,COSU2258815,2,3,IN,2025-04-01 23:22:00,2025-04-02 00:09:00,3
84,C71198,MSKU9109632,3,4,IN,2025-04-01 08:00:00,2025-04-01 08:33:00,1
85,E22086,MSKU2979785,11,1,IN,2025-04-01 16:45:00,2025-04-01 17:15:00,2
86,D22132,CMAU6254238,5,3,OUT,2025-04-01 06:22:00,2025-04-01 06:27:00,1
87,E88627,ONEU9546890,3,2,IN,2025-04-01 21:52:00,2025-04-01 22:25:00,2
88,B39774,MSCU7188829,5,4,IN,2025-04-01 05:30:00,2025-04-01 05:49:00,3
89,E72703,EGLV4147203,3,2,IN,2025-04-01 22:22:00,2025-04-01 23:15:00,3
90,D59102,ONEU7790714,10,2,OUT,2025-04-01 10:24:00,2025-04-01 10:29:00,1
91,C76060,EGLV2994586,4,3,OUT,2025-04-01 11:03:00,2025-04-01 16:14:00,1
92,E93769,MSKU3066316,5,3,IN,2025-04-01 23:50:00,2025-04-02 00:44:00,3
93,F76646,MSCU7363878,3,4,OUT,2025-04-01 13:49:00,2025-04-01 14:49:00,1
94,B90637,MSKU4333619,6,2,IN,2025-04-01 08:01:00,2025-04-01 08:46:00,1
95,D48590,MSCU3711940,12,2,OUT,2025-04-01 22:00:00,2025-04-01 22:59:00,3
96,D85274,HLXU9532215,3,1,IN,2025-04-01 19:04:00,2025-04-01 20:13:00,2
97,D42772,MSCU3880568,11,1,IN,2025-04-01 17:04:00,2025-04-01 17:51:00,2
98,F16724,CMAU7921125,6,1,IN,2025-04-01 22:40:00,2025-04-01 23:27:00,3
99,A34470,CMAU1481324,6,2,OUT,2025-04-01 18:06:00,2025-04-01 18:34:00,2
100,A53143,MSKU4646794,9,2,OUT,2025-04-01 13:52:00,2025-04-01 14:35:00,1
101,D32492,ONEU7782243,4,1,IN,2025-04-01 13:02:00,2025-04-01 13:41:00,1
102,A79645,EGLV8392321,12,4,OUT,2025-04-01 15:19:00,2025-04-01 15:30:00,2
103,B33334,COSU1711454,4,1,IN,2025-04-01 22:11:00,2025-04-01 22:21:00,3
104,A34673,HLXU9639114,5,2,IN,2025-04-01 16:46:00,2025-04-01 17:53:00,2
105,F77805,ONEU5404147,10,1,IN,2025-04-01 19:58:00,2025-04-01 20:31:00,2
106,C20656,CMAU4751108,5,2,OUT,2025-04-01 06:59:00,2025-04-01 07:31:00,1
107,B41219,EGLV4161863,4,1,OUT,2025-04-01 21:14:00,2025-04-01 21:34:00,2
108,F36692,COSU5826152,5,2,OUT,2025-04-01 08:42:00,2025-04-01 09:01:00,1
109,B99532,EGLV5794763,4,2,IN,2025-04-01 10:50:00,2025-04-01 11:35:00,1
110,A60737,CMAU8513775,12,1,IN,2025-04-01 16:43:00,2025-04-01 17:16:00,2
111,D35452,COSU6185503,1,4,IN,2025-04-01 16:16:00,2025-04-01 16:44:00,2
112,D80723,HLXU4350306,8,1,IN,2025-04-01 22:31:00,2025-04-01 23:41:00,3
113,C39716,MSCU2085532,9,2,IN,2025-04-01 20:14:00,2025-04-01 21:45:00,2
114,D73032,CMAU3318847,12,4,OUT,2025-04-01 09:18:00,2025-04-01 10:06:00,1
115,B44602,HLXU9373655,3,3,OUT,2025-04-01 18:24:00,2025-04-01 18:29:00,2
116,B99094,EGLV4750876,1,3,IN,2025-04-01 22:59:00,2025-04-02 00:02:00,3
117,F32618,CMAU7430911,2,3,OUT,2025-04-01 21:31:00,2025-04-01 22:17:00,2
118,E47304,EGLV9109762,5,2,OUT,2025-04-01 12:53:00,2025-04-01 13:46:00,1
119,F15977,COSU5933464,1,1,OUT,2025-04-01 20:44:00,2025-04-01 21:49:00,2
120,C38273,MSCU4352772,3,3,IN,2025-04-01 15:54:00,2025-04-01 16:41:00,2
121,B44021,COSU8398255,12,2,OUT,2025-04-01 07:56:00,2025-04-01 08:51:00,1
122,B79852,CMAU9248204,5,4,IN,2025-04-01 14:15:00,2025-04-01 14:46:00,2
123,E37363,MSCU9376244,10,1,OUT,2025-04-01 16:43:00,2025-04-01 18:08:00,2
124,B93171,HLXU4446315,1,3,IN,2025-04-01 22:14:00,2025-04-01 22:44:00,3
125,E11428,MSKU3850195,12,2,IN,2025-04-01 16:54:00,2025-04-01 17:47:00,2
126,B17667,HLXU9966886,5,4,IN,2025-04-01 05:49:00,2025-04-01 06:12:00,3
127,C44817,ONEU2027434,10,4,OUT,2025-04-01 15:21:00,2025-04-01 15:49:00,2
128,B16716,ONEU1633790,5,3,IN,2025-04-01 21:11:00,2025-04-01 22:00:00,2
129,B93430,ONEU3864219,2,2,OUT,2025-04-01 11:04:00,2025-04-01 11:41:00,1
130,A85971,MSKU7724842,8,1,OUT,2025-04-01 16:46:00,2025-04-01 17:34:00,2
131,A19247,HLXU2898688,5,4,IN,2025-04-01 12:59:00,2025-04-01 13:58:00,1
132,D19161,EGLV3303750,5,3,OUT,2025-04-01 18:32:00,2025-04-01 19:26:00,2
133,C16989,HLXU5527963,2,2,OUT,2025-04-01 18:11:00,2025-04-01 18:54:00,2
134,C48439,MSCU2841315,6,4,IN,2025-04-01 14:33:00,2025-04-01 15:37:00,2
135,E66059,EGLV5658445,11,2,OUT,2025-04-01 12:31:00,2025-04-01 12:36:00,1
136,C62518,CMAU6298474,5,1,IN,2025-04-01 11:49:00,2025-04-01 13:05:00,1
137,C88462,ONEU6670605,8,4,IN,2025-04-01 20:36:00,2025-04-01 21:54:00,2
138,A57555,EGLV5787834,1,3,IN,2025-04-01 07:01:00,2025-04-01 08:00:00,1
139,C41069,HLXU5451635,10,1,IN,2025-04-01 08:20:00,2025-04-01 09:14:00,1
140,D81946,ONEU8953040,3,3,IN,2025-04-01 13:13:00,2025-04-01 13:48:00,1
141,A76767,ONEU3784605,5,3,OUT,2025-04-01 20:02:00,2025-04-01 20:52:00,2
142,C17198,EGLV9201237,7,4,IN,2025-04-01 10:05:00,2025-04-01 11:10:00,1
143,C59241,MSCU3434297,4,2,OUT,2025-04-01 19:15:00,2025-04-01 20:10:00,2
144,F78886,ONEU9291176,9,1,IN,2025-04-01 14:15:00,2025-04-01 15:23:00,2
145,D54580,CMAU6746005,5,2,IN,2025-04-01 19:36:00,2025-04-01 20:24:00,2
146,C63790,HLXU3592496,5,3,OUT,2025-04-01 07:37:00,2025-04-01 12:39:00,1
147,B77565,MSCU1616936,6,1,IN,2025-04-01 21:31:00,2025-04-01 23:09:00,2
148,C47765,HLXU4992518,1,3,OUT,2025-04-01 07:12:00,2025-04-01 08:07:00,1
149,C58672,CMAU2571768,9,1,OUT,2025-04-01 05:22:00,2025-04-01 05:55:00,3
150,B31311,MSKU1776234,1,4,IN,2025-04-01 15:55:00,2025-04-01 17:04:00,2
151,C95459,EGLV1974776,6,2,OUT,2025-04-01 09:58:00,2025-04-01 10:28:00,1
152,C45693,HLXU5557852,2,2,OUT,2025-04-01 13:19:00,2025-04-01 13:52:00,1
153,E33108,ONEU3166121,1,4,OUT,2025-04-01 06:49:00,2025-04-01 08:22:00,1
154,F75495,ONEU4987731,2,2,OUT,2025-04-01 22:10:00,2025-04-01 23:14:00,3
155,B42821,MSKU2794270,12,4,IN,2025-04-01 21:34:00,2025-04-01 21:52:00,2
156,D36225,HLXU2777636,11,2,IN,2025-04-01 07:31:00,2025-04-01 08:33:00,1
157,F74612,ONEU4097039,12,2,OUT,2025-04-01 11:31:00,2025-04-01 12:26:00,1
158,A29814,ONEU7635643,6,3,OUT,2025-04-01 12:30:00,2025-04-01 13:17:00,1
159,E32654,COSU5168479,12,4,IN,2025-04-01 20:43:00,2025-04-01 21:12:00,2
160,A70117,MSKU6305487,5,1,IN,2025-04-01 14:34:00,2025-04-01 15:16:00,2
161,B69164,MSCU6268005,1,1,OUT,2025-04-01 13:05:00,2025-04-01 14:08:00,1
162,D32988,MSCU2596321,2,2,OUT,2025-04-01 10:52:00,2025-04-01 11:46:00,1
163,C74560,EGLV5457446,9,2,OUT,2025-04-01 21:25:00,2025-04-01 23:13:00,2
164,C87007,CMAU8753121,6,4,OUT,2025-04-01 10:11:00,2025-04-01 10:34:00,1
165,E82293,EGLV1376987,2,2,IN,2025-04-01 11:55:00,2025-04-01 12:32:00,1
166,A51346,COSU5282655,11,1,IN,2025-04-01 15:28:00,2025-04-01 15:44:00,2
167,F66941,CMAU5926439,5,4,OUT,2025-04-01 19:03:00,2025-04-01 19:49:00,2
168,F90779,CMAU9055139,5,4,IN,2025-04-01 20:50:00,2025-04-01 21:27:00,2
169,B55408,MSCU3756813,12,4,IN,2025-04-01 10:03:00,2025-04-01 11:01:00,1
170,D20270,CMAU2161786,6,4,IN,2025-04-01 18:40:00,2025-04-01 19:37:00,2
171,E57319,ONEU2921553,7,1,OUT,2025-04-01 22:32:00,2025-04-01 23:49:00,3
172,A64416,HLXU2495374,10,3,OUT,2025-04-01 07:02:00,2025-04-01 08:24:00,1
173,B99940,HLXU2158269,4,1,OUT,2025-04-01 07:29:00,2025-04-01 07:43:00,1
174,B77934,MSKU6158385,3,3,IN,2025-04-01 22:23:00,2025-04-01 23:11:00,3
175,A68012,CMAU8569076,2,3,OUT,2025-04-01 16:40:00,2025-04-01 17:24:00,2
176,D49904,EGLV5222708,1,1,IN,2025-04-01 16:22:00,2025-04-01 16:51:00,2
177,B50462,CMAU7352095,2,2,IN,2025-04-01 12:44:00,2025-04-01 14:12:00,1
178,B53814,ONEU3131834,1,4,OUT,2025-04-01 10:46:00,2025-04-01 11:43:00,1
179,B27913,CMAU4934164,4,1,OUT,2025-04-01 13:15:00,2025-04-01 16:47:00,1
180,E46079,ONEU3508241,11,2,OUT,2025-04-01 23:47:00,2025-04-02 00:47:00,3
181,B28149,ONEU3956769,6,1,IN,2025-04-01 09:33:00,2025-04-01 10:10:00,1
182,C46439,EGLV6555360,12,3,OUT,2025-04-01 08:20:00,2025-04-01 08:57:00,1
183,D46577,MSCU9217392,11,2,IN,2025-04-01 17:11:00,2025-04-01 18:07:00,2
184,D93904,EGLV3730674,5,1,OUT,2025-04-01 05:33:00,2025-04-01 05:51:00,3
185,E52322,ONEU1669670,1,3,IN,2025-04-01 10:46:00,2025-04-01 11:11:00,1
186,D64338,HLXU7636611,2,3,OUT,2025-04-01 22:19:00,2025-04-01 23:01:00,3
187,D77593,MSCU8444303,2,1,OUT,2025-04-01 19:50:00,2025-04-01 20:47:00,2
188,E72304,CMAU9183186,10,2,OUT,2025-04-01 11:38:00,2025-04-01 12:53:00,1
189,C86771,COSU4900492,3,3,IN,2025-04-01 18:43:00,2025-04-01 19:27:00,2
190,C72198,MSKU1088489,7,3,IN,2025-04-01 12:12:00,2025-04-01 13:08:00,1
191,F83715,CMAU5162518,4,2,IN,2025-04-01 08:37:00,2025-04-01 09:06:00,1
192,D23150,HLXU9070288,2,4,IN,2025-04-01 08:19:00,2025-04-01 08:24:00,1
193,E84900,CMAU3563530,5,3,OUT,2025-04-01 21:32:00,2025-04-01 22:28:00,2
194,E36195,MSKU4337294,1,2,IN,2025-04-01 08:40:00,2025-04-01 09:05:00,1
195,F13338,MSCU5057299,5,2,IN,2025-04-01 14:58:00,2025-04-01 15:16:00,2
196,D18024,ONEU1617543,9,1,OUT,2025-04-01 20:52:00,2025-04-01 21:55:00,2
197,C78722,MSKU3295729,1,2,IN,2025-04-01 08:49:00,2025-04-01 09:38:00,1
198,C80970,HLXU8712198,3,2,IN,2025-04-01 22:27:00,2025-04-01 23:18:00,3
199,E72153,MSKU6751478,4,3,IN,2025-04-01 17:39:00,2025-04-01 18:02:00,2
200,E91605,MSCU6182997,8,3,OUT,2025-04-01 13:55:00,2025-04-01 14:19:00,1
201,A86445,MSCU2879490,10,3,IN,2025-04-01 16:19:00,2025-04-01 17:16:00,2
202,F67660,EGLV9948138,1,4,OUT,2025-04-01 20:06:00,2025-04-01 21:20:00,2
203,B29125,HLXU3989350,12,4,OUT,2025-04-01 16:35:00,2025-04-01 16:54:00,2
204,F35920,CMAU6047133,7,4,OUT,2025-04-01 13:01:00,2025-04-01 14:03:00,1
205,D17240,CMAU3576461,11,3,IN,2025-04-01 18:42:00,2025-04-01 19:53:00,2
206,E58932,COSU4581235,12,3,OUT,2025-04-01 22:37:00,2025-04-01 22:54:00,3
207,D71411,CMAU3498087,7,3,OUT,2025-04-01 20:34:00,2025-04-01 21:16:00,2
208,E36323,HLXU3905105,9,1,IN,2025-04-01 11:17:00,2025-04-01 12:13:00,1
209,F61862,COSU3691096,1,3,IN,2025-04-01 06:45:00,2025-04-01 07:21:00,1
210,C30096,MSCU5864011,2,4,OUT,2025-04-01 13:55:00,2025-04-01 14:29:00,1
211,E95382,COSU7557376,2,1,OUT,2025-04-01 14:10:00,2025-04-01 14:44:00,2
212,B23201,MSCU2941744,12,1,IN,2025-04-01 05:51:00,2025-04-01 06:33:00,3
213,F47487,MSCU1754428,6,3,IN,2025-04-01 17:48:00,2025-04-01 18:44:00,2
214,B89487,MSKU3893995,8,2,IN,2025-04-01 06:59:00,2025-04-01 07:55:00,1
215,E29102,MSKU6778165,12,1,IN,2025-04-01 23:31:00,2025-04-01 23:58:00,3
216,C54274,HLXU9780986,5,1,IN,2025-04-01 08:19:00,2025-04-01 08:56:00,1
217,A84680,EGLV4349553,7,1,OUT,2025-04-01 15:19:00,2025-04-01 16:04:00,2
218,F55540,MSCU6050861,9,1,IN,2025-04-01 19:52:00,2025-04-01 20:42:00,2
219,D74695,CMAU6129441,6,3,OUT,2025-04-01 20:13:00,2025-04-01 20:43:00,2
220,D14976,HLXU3016264,10,4,OUT,2025-04-01 10:12:00,2025-04-01 10:17:00,1
221,C95258,COSU5343649,3,1,OUT,2025-04-01 13:34:00,2025-04-01 14:51:00,1
222,E58650,CMAU8267188,10,4,OUT,2025-04-01 20:50:00,2025-04-01 22:22:00,2
223,B17830,MSCU9175124,12,4,IN,2025-04-01 08:09:00,2025-04-01 08:57:00,1
224,C52332,HLXU8828290,8,1,IN,2025-04-01 12:03:00,2025-04-01 12:55:00,1
225,C20977,ONEU6146556,5,3,IN,2025-04-01 12:02:00,2025-04-01 12:41:00,1
226,E29908,ONEU4201889,10,3,OUT,2025-04-01 18:20:00,2025-04-01 18:35:00,2
227,B29710,EGLV7285986,1,2,IN,2025-04-01 19:28:00,2025-04-01 20:05:00,2
228,F74705,ONEU1506826,10,3,IN,2025-04-01 14:07:00,2025-04-01 15:01:00,2
229,D88502,CMAU5229905,3,4,IN,2025-04-01 16:35:00,2025-04-01 17:27:00,2
230,D85100,MSCU6246810,11,3,OUT,2025-04-01 20:36:00,2025-04-01 20:56:00,2
231,A31063,EGLV5552160,7,2,IN,2025-04-01 10:34:00,2025-04-01 10:59:00,1
232,E47095,HLXU5128491,1,4,IN,2025-04-01 12:45:00,2025-04-01 14:02:00,1
233,F64715,ONEU3823310,9,3,IN,2025-04-01 13:58:00,2025-04-01 15:08:00,1
234,C79664,MSKU5683457,11,1,OUT,2025-04-01 21:49:00,2025-04-01 22:37:00,2
235,B22831,ONEU3855042,12,3,OUT,2025-04-01 19:00:00,2025-04-01 19:32:00,2
236,B55762,COSU4985611,8,1,IN,2025-04-01 15:32:00,2025-04-01 15:54:00,2
237,B21040,EGLV7622919,10,4,OUT,2025-04-01 05:27:00,2025-04-01 09:22:00,3
238,A86645,EGLV8670448,5,1,OUT,2025-04-01 22:33:00,2025-04-01 22:55:00,3
239,C41061,MSKU2725303,4,3,IN,2025-04-01 18:31:00,2025-04-01 19:32:00,2
240,A80103,CMAU4462747,9,2,OUT,2025-04-01 05:31:00,2025-04-01 06:44:00,3
241,B57444,MSCU6282944,11,1,OUT,2025-04-01 09:52:00,2025-04-01 10:08:00,1
242,C40624,CMAU1629213,10,1,OUT,2025-04-01 18:09:00,2025-04-01 18:45:00,2
243,A85610,MSKU3469948,12,4,IN,2025-04-01 18:09:00,2025-04-01 18:41:00,2
244,F77921,COSU4557196,3,4,OUT,2025-04-01 15:36:00,2025-04-01 16:28:00,2
245,F99620,HLXU3912027,10,3,OUT,2025-04-01 22:11:00,2025-04-01 23:05:00,3
246,E27519,EGLV8608961,7,2,IN,2025-04-01 17:32:00,2025-04-01 18:31:00,2
247,A48202,MSCU1828215,10,1,IN,2025-04-01 05:36:00,2025-04-01 05:57:00,3
248,F40203,COSU8884514,8,4,OUT,2025-04-01 13:29:00,2025-04-01 14:29:00,1
249,B48331,COSU5534123,6,3,OUT,2025-04-01 05:32:00,2025-04-01 05:51:00,3
250,D12577,ONEU4699136,11,1,IN,2025-04-01 10:28:00,2025-04-01 11:28:00,1
251,D25144,MSKU2530214,8,4,OUT,2025-04-01 21:24:00,2025-04-02 02:10:00,2
252,C20725,ONEU6832489,9,2,OUT,2025-04-01 06:38:00,2025-04-01 07:06:00,1
253,B76205,ONEU9868780,8,1,IN,2025-04-01 05:45:00,2025-04-01 06:40:00,3
254,E41599,MSKU7991319,6,2,IN,2025-04-01 20:35:00,2025-04-01 21:31:00,2
255,C87088,MSKU7056236,6,3,IN,2025-04-01 17:10:00,2025-04-01 17:52:00,2
256,D74056,ONEU7176841,5,3,IN,2025-04-01 06:54:00,2025-04-01 07:38:00,1
257,F57580,CMAU8179656,8,2,IN,2025-04-01 13:39:00,2025-04-01 14:54:00,1
258,D89101,MSKU6392777,5,3,OUT,2025-04-01 20:28:00,2025-04-01 20:34:00,2
259,C44195,CMAU7865156,6,2,OUT,2025-04-01 17:36:00,2025-04-01 17:41:00,2
260,F57944,MSCU3470314,6,2,IN,2025-04-01 08:01:00,2025-04-01 09:15:00,1
261,A10660,MSCU1911044,2,4,IN,2025-04-01 20:27:00,2025-04-01 21:54:00,2
262,A11172,CMAU6099849,8,1,IN,2025-04-01 06:27:00,2025-04-01 07:12:00,1
263,D21118,HLXU3455376,11,2,IN,2025-04-01 06:25:00,2025-04-01 09:35:00,1
264,F79403,EGLV9130369,5,3,IN,2025-04-01 18:51:00,2025-04-01 19:12:00,2
265,E36284,MSKU9350551,6,1,OUT,2025-04-01 06:31:00,2025-04-01 07:14:00,1
266,D25778,COSU1707731,9,1,OUT,2025-04-01 16:11:00,2025-04-01 16:38:00,2
267,A86725,HLXU3312238,7,2,IN,2025-04-01 09:58:00,2025-04-01 10:11:00,1
268,E75276,MSCU7360981,3,2,IN,2025-04-01 09:39:00,2025-04-01 09:53:00,1
269,F13346,MSKU6551021,9,3,IN,2025-04-01 06:13:00,2025-04-01 07:28:00,1
270,F42511,CMAU7987564,9,4,IN,2025-04-01 22:29:00,2025-04-01 22:36:00,3
271,D16465,MSCU9000829,12,3,OUT,2025-04-01 09:33:00,2025-04-01 09:55:00,1
272,B50801,CMAU4646779,10,1,IN,2025-04-01 10:19:00,2025-04-01 10:52:00,1
273,D86207,EGLV1911982,4,4,OUT,2025-04-01 11:54:00,2025-04-01 12:42:00,1
274,F10326,ONEU5414914,1,1,OUT,2025-04-01 20:02:00,2025-04-01 20:30:00,2
275,F65269,MSCU7146040,6,1,OUT,2025-04-01 18:57:00,2025-04-01 19:40:00,2
276,A26751,HLXU3497627,7,3,OUT,2025-04-01 05:01:00,2025-04-01 05:37:00,3
277,D40267,MSKU2702169,5,2,OUT,2025-04-01 20:13:00,2025-04-01 21:22:00,2
278,C90667,ONEU6644074,5,1,OUT,2025-04-01 09:41:00,2025-04-01 10:29:00,1
279,B21005,COSU3514281,11,2,OUT,2025-04-01 18:46:00,2025-04-01 19:46:00,2
280,B23657,MSKU8799771,10,2,IN,2025-04-01 06:57:00,2025-04-01 07:22:00,1
281,B60699,EGLV6990779,7,1,OUT,2025-04-01 14:42:00,2025-04-01 15:06:00,2
